topic,aliases,topic_desc,knowledge_class,topic_desc_basic,knowledge_class_basic,tags,category
brahmin,"pack brahmin,mono-headed brahmin","Brahmin are a cornerstone of wasteland survival, providing meat, milk, and labor across post-War America. Edible cuts include the udder, chuck, brisket, rib, loin, and sirloin. They possess eight-compartment stomachs, udders, and four testicles, and can carry loads up to roughly 500 pounds. Their waste is valued as fertilizer. In the New California Republic, brahmin herding has grown into a powerful industry, with Brahmin Barons wielding considerable political influence over laws and policy. In the Capital Wasteland, brahmin are seen in settlements such as Megaton, Arefu, and the Republic of Dave, and are used by traders to transport wares. The Brotherhood of Steel has used pack brahmin to distribute clean water to wasteland inhabitants following the activation of Project Purity. Though generally docile and seldom hostile, wild aggressive brahmin can produce a loud roar. A rare mutation occasionally produces a single-headed specimen, known as a mono-headed brahmin.","traveler,merchant,doctor,survivalist,hunter","Brahmin are two-headed cattle used across the wasteland for meat, milk, labor, and fertilizer. Merchants use them as pack animals to haul goods. They are a common, docile sight in settlements throughout the Capital Wasteland and the Mojave. In the NCR, brahmin ranching is a major industry, and wealthy ranchers hold significant political sway. Rare single-headed mutants are called mono-headed brahmin.",common,"brahmin baron influence,capital wasteland livestock,mono-headed mutation,ncr herding industry,pack brahmin traders,project purity water,two-headed pack cattle",creature
centaur,,"Centaurs are grotesque mutant creatures composed primarily of human and canine components, named for their three pairs of leg-like arms. In earlier wasteland accounts, centaurs possessed two heads—one canine, one humanoid—each connected to the body by thick, elongated necks converging at the torso's base. In the Capital Wasteland, centaurs display a single head with three writhing tentacle-like tongues and bones protruding from their bodies. Instead of legs, they use multiple human arms to drag themselves along the ground. They are slow-moving but possess both ranged and close-range attacks, capable of spitting radioactive projectiles. Centaurs are most commonly found accompanying super mutants, serving as watchdogs and companions. Significant concentrations exist in the basement of the Chryslus Building and near the Seward Square skybridge, with additional specimens found in Vault 87. Moira Brown's terminal entries suggest centaurs may be capable of speech due to the abundance of their tongues. In the Den, Mom's Diner has been known to serve centaur chops.","scientist,researcher,brotherhood_of_steel,vault_87","Centaurs are grotesque, fleshy mutants made from human and canine parts, dragging themselves on multiple human arms. They are slow but can spit radioactive bile at a distance. They are most often found alongside super mutants, acting as watchdogs. Wastelanders in areas frequented by super mutants know to watch for them.","capital_wasteland,mojave","capital wasteland mutants,chryslus building basement,human canine hybrid,moira brown terminal,radioactive spit attack,super mutant watchdogs,vault 87 specimens",creature
deathclaw,,"Deathclaws were originally engineered by the pre-war United States government from Jackson's Chameleon stock to replace human soldiers in close-combat search-and-destroy missions. At least one deathclaw was deployed during the Alaskan Reclamation Operation, where it killed several Chinese soldiers. Following the Great War, deathclaws spread across North America, establishing packs governed by a pack leader and pack mother. Their nests frequently disrupt trade routes, and the only reliable way to dislodge a nest is to kill the pack mother. Behemoths are regarded as the only creatures posing a greater threat. Some wastelanders who have never encountered deathclaws consider them mythical, vampiric, or ghostly. The Enclave conducted extensive experiments on deathclaws, including the creation of Intelligent Deathclaws at Vault 13 through FEV injection. These creatures gained sufficient intelligence to recognize their intended role as expendable Enclave soldiers and feigned compliance until they could seek freedom. The Enclave also used domestication units to pacify deathclaws at Raven Rock. In the Capital Wasteland, deathclaws nest at the Deathclaw Sanctuary and Old Olney, the latter driving out a group of ghouls led by Sanders. In the Mojave Wasteland, deathclaws congregate at the Gypsum Train Yard and Deathclaw Promontory. After the NCRCF prison break, Powder Gangers stole dynamite from Quarry Junction, halting work and allowing a pack to occupy the area, blocking travel along the Long 15. A Legendary Deathclaw inhabits Dead Wind Cavern.","hunter,survivalist,traveler,enclave,researcher","Deathclaws are massive, ferocious predators with tough hides and razor-sharp claws, widely regarded as among the most dangerous creatures in the wasteland. They travel in packs led by a pack mother and establish nests that can shut down trade routes. Some wastelanders who have never seen one consider them mythical. Only behemoths are considered a greater threat.",common,"deathclaw sanctuary nest,enclave fev experiments,intelligent deathclaw vault 13,jacksons chameleon mutation,pack mother hierarchy,pre-war military bioweapon,quarry junction pack",creature
eyebot,,"Eyebots are aerial, spherical robots equipped with a loudspeaker and a forward-mounted electrical weapon, with several long antennas protruding from their shells. They are common in the Mojave Wasteland and the Divide, where they broadcast signals, relay messages, and respond to perceived threats. Although a single eyebot is not heavily armed, its power system may explode when the robot is destroyed, endangering anything nearby. The best-known example in the Mojave is ED-E, whose casing and internal records connect it to pre-War Enclave research and long-distance travel. Pre-War popular media also featured an eyebot character named RALPHIE, and surviving posters in the Divide show that the robot's distinctive shape was familiar to the American public. Broken units found throughout the Divide provide evidence of the region's former robotic infrastructure and the violence that destroyed it.","engineer,researcher,enclave,traveler","Eyebots are small, spherical flying robots with a loudspeaker, antennas, and a built-in taser. They are a familiar sight in the Mojave Wasteland and the Divide, where they hover about broadcasting signals. Though not heavily armed, they explode when destroyed, posing a minor hazard. Pre-War media featured an eyebot character named RALPHIE, suggesting the design was well known to the public before the war.",mojave,"divide destroyed eyebots,ed-e recognition,electrical weapon robot,mojave wasteland robots,pre-war robot design,ralphie television program,spherical aerial robot",creature
feral_ghoul,"Mindless Ghouls,Zombies,Crazies,Post-Necrotic Humans","The exact cause of a ghoul turning feral remains unknown, though the condition is characterized by brain degeneration and is considered an illness by some. Feral ghouls possess no body heat and emit lethal radiation, preferring dark environments such as underground areas or nighttime surfaces. They screech when enemies approach and attack primarily with their hands, though some—such as those at Camp Searchlight—retain enough function to use weapons. Curiously, feral ghouls display mixed behaviors toward non-feral ghouls: some are non-combative, while others are openly hostile. A ghoul mask can fool them into neutrality. The widespread assumption that all ghouls inevitably become feral drives significant prejudice against non-feral ghouls across the wasteland.","doctor,scientist,researcher,medic","Feral ghouls are irradiated humans whose minds have deteriorated, making them aggressive and dangerous. They are also called zombies, crazies, or mindless ghouls. They emit radiation, prefer dark places, and attack with their hands. Their existence drives widespread prejudice against all ghouls, as many people assume every ghoul will eventually go feral.",common,"camp searchlight ferals,feral ghoul brain degeneration,feral ghoul radiation emission,ghoul mask disguise,ghoul prejudice humans,post-necrotic humans",creature
mister_gutsy,,"The Mister Gutsy was developed by General Atomics International as a dedicated combat variant of the civilian Mister Handy, commissioned by the United States Army before the Great War. Units saw action during the Battle of Anchorage in January 2077. General Atomics programmed them as effective soldiers, but vague programming definitions caused issues with their simulated personality units, granting them the ability to refuse orders from commanders they deemed incompetent or who were under court martial. Units carried ""ABC"" and ""MGZ"" serial numbers, with variants ranked Mister, Sergeant, Lieutenant, Major, and Colonel. A field medic model was also produced, incapable of combat but possessing encyclopedic medical knowledge, particularly in surgery. In the Mojave Wasteland, Mister Gutsies can be found at Nellis Air Force Base, HELIOS One, and other pre-war installations.","engineer,researcher,soldier,brotherhood_of_steel","The Mister Gutsy is a military combat robot developed by General Atomics International before the Great War as a combat variant of the civilian Mister Handy. Units saw action during the Battle of Anchorage. They are armed with firearms, plasma weapons, and flamethrowers, and are known for their patriotic, soldier-like personalities. Surviving units can still be found patrolling pre-war military sites.",common,"battle of anchorage robots,combat variant mister handy,general atomics international,mister gutsy military robot,mojave military robots,robot personality units",creature
mister_handy,,"The Mister Handy is a service and maintenance robot utilizing a powerful propulsion system to hover above ground level. Its spherical chassis is fitted with three optical sensors and three primary appendages for manual labor, including a buzz saw and a rudimentary flamethrower. In the Mojave Wasteland, Mister Handy units can be found at several locations including the Securitron Vault, REPCONN Headquarters, Sunset Sarsaparilla Headquarters, H&H Tools Factory, New Vegas Steel, and the Saturnite Alloy Research Facility. The Mister Handy platform also served as the basis for the military Mister Gutsy variant. These robots represent some of the most ubiquitous pre-war robotics still functioning in the post-nuclear world, performing maintenance and service tasks long after their original owners perished.","engineer,scientist,researcher","Mister Handies are common pre-war service robots still found throughout the wasteland. They hover above the ground using a built-in propulsion system and have a round body topped with three eye sensors and three mechanical arms, including a buzz saw and a small flamethrower for maintenance work. Most people recognize them as harmless utility robots, though their saws and flames can be dangerous if the unit is damaged or hostile.",common,"general atomics civilian robot,hovering propulsion robot,mister handy service robot,mojave handy robots,pre-war service robots,robot maintenance units",creature
mole_rat,,"Mole rats are mutated descendants of a species closely resembling a larger variant of heterocephalus glaber, having survived the Great War by burrowing underground where soil shielded them from direct nuclear blasts. Subsequent radioactive fallout greatly increased their size and aggression. The Enclave conducted field research on mole rats, documenting observations at a small outpost west of the Temple of the Union. Moira Brown noted that mole rats can be domesticated, but only after de-clawing, de-teething, and a lobotomy. Some wastelanders have trained and kept them as pets, and raiders have hosted mole rat races at a dedicated track. Mole rats charge their prey and lunge several feet to bite with large incisors, though they may retreat if severely outmatched. They are found throughout the Capital Wasteland and as far afield as Point Lookout.","researcher,scientist,enclave,doctor","Mole rats are large, aggressive mutated rodents found throughout the Capital Wasteland and as far afield as Point Lookout. They burrow underground and attack by charging and biting with large incisors, though they may retreat if outmatched. Some wastelanders have trained them as pets, and raiders have hosted mole rat races at a dedicated track.",capital_wasteland,"capital wasteland creatures,enclave field research,heterocephalus glaber species,mole rat domestication,mole rat mutation,radioactive fallout mutation",creature
protectron,RobCo Protectron,"The RobCo Protectron was among the most versatile pre-War commercial robots, deployed across the United States in roles ranging from security to firefighting. Its three photo sensors provided visual input while a fission battery housed behind an access panel supplied power. Each unit was stored in a dedicated pod interfaced through the Standard Protectron Control Interface v2.40. The Protectron's introduction had significant social consequences: automation displaced human workers, and resulting labor strikes turned violent. RobCo produced numerous specialised variants. Construction models carried internal nail guns and were built to withstand damage. Firefighter models were fitted with internal cryo guns. Medic models used their hands as defibrillators and could deliver shock attacks in combat. Police units likewise employed shock-based tactics. Protectrons could even cook food using internal temperatures reaching one thousand degrees. Software personalities included the R04 V9 Office Helper, the RS3 V4.1.6 Utility Helper with pest extermination programs, and the RX2 V1.16.4 Vault Helper with Vault protocols. A prototype called the Protect-O-Bot was displayed at the REPCONN Headquarters museum. In the Mojave Wasteland, Protectrons have been found guarding HELIOS One, Mr. House's secret bunker beneath the Fort, and the H&H Tools Factory. Named units include Fisto, Primm Slim, and Vendortron.","engineer,scientist,researcher,vault_dweller","Protectrons are bulky, slow-moving pre-War robots built by RobCo for security and civil service work. They are a common sight in ruins and old facilities, often found dormant in charging pods. Various models existed for firefighting, police work, medical assistance, and construction. They are armed with built-in lasers and are tough but sluggish in combat.",common,"labor strike automation,pre-war security automaton,protectron variants,robot fission battery,rocco protectron model,standard protectron interface",creature
radroach,periplaneta americana,"Radroaches are descended from the pre-War Great American Cockroach, known scientifically as periplaneta americana. Enclave field research terminals have documented the species' pre-War origins. Following the Great War, these insects proliferated throughout the Capital Wasteland, congregating in significant numbers at locations such as the RobCo Facility, the Nuka-Cola Plant offices, and the Gillian House in Minefield. Radroaches are generally hostile to humans, flapping their wings and antennae as a pre-attack display. Their meat is edible, though widely regarded as unpalatable; Moira Brown of Megaton famously compared the taste to old feet. Despite their ubiquity, radroaches exhibit no body part that can be crippled to induce frenzy, unlike many other wasteland creatures. Unusual specimens have been documented: two caged radroaches named Fluffy and Jitters were found in an abandoned shack, and a recluse known as Gallo kept undersized radroaches as pets in the County Sewer Mainline. Radroaches near the so-called Roach King have been observed as non-hostile. Undersized specimens have also been reported in Vault 108's living quarters cafeteria.","scientist,researcher,medic,hunter","Radroaches are mutated descendants of pre-War cockroaches and among the most common pests in the wasteland. They are generally hostile, swarming anything that disturbs them. Their meat is technically edible but widely considered disgusting, with some comparing the taste to old feet.","common,survivalist","capital wasteland insect,edible mutant insect,mutated cockroach species,periplaneta americana,radroach behavior,roach king",creature
